model,cmi_band,n,WER_strict,CER_strict,WER_loose,CER_loose,WER_numeric,CER_numeric,amount_recall,refnum_recall,negation_recall,latency_median_s,rtf
sahara,high,9,0.7619047619047619,0.4415322580645161,0.5670995670995671,0.3407258064516129,0.5670995670995671,0.33805668016194335,0.0,,0.5454545454545454,17.234,1.6243655257091045
sahara,low,9,0.8825910931174089,0.6162551440329218,0.6032388663967612,0.47216494845360824,0.6032388663967612,0.47216494845360824,,,0.6428571428571429,32.656,3.4200545269404694
sahara,medium,7,0.8488372093023255,0.4946889226100152,0.5465116279069767,0.3292867981790592,0.5406976744186046,0.3257229832572298,1.0,,0.36363636363636365,16.047,1.6998294485503125
whisper_large_v3,high,9,0.8051948051948052,0.45060483870967744,0.7965367965367965,0.4344758064516129,0.7965367965367965,0.4342105263157895,1.0,,0.2727272727272727,4.719,
whisper_large_v3,low,9,0.9352226720647774,0.5936213991769548,0.9190283400809717,0.5773195876288659,0.9190283400809717,0.5773195876288659,,,0.14285714285714285,3.672,
whisper_large_v3,medium,7,0.9418604651162791,0.48254931714719274,0.9302325581395349,0.464339908952959,0.9302325581395349,0.4657534246575342,1.0,,0.0,3.969,
