model,noise,n,WER_strict,CER_strict,WER_loose,CER_loose,WER_numeric,CER_numeric,amount_recall,refnum_recall,negation_recall,latency_median_s,rtf
sahara,unknown,25,0.8307692307692308,0.5196340068623714,0.5753846153846154,0.3864937046928653,0.5738461538461539,0.3847036328871893,0.3333333333333333,,0.5277777777777778,17.891,2.292190366047857
whisper_large_v3,unknown,25,0.8907692307692308,0.5116279069767442,0.8784615384615385,0.49484929416253337,0.8784615384615385,0.49521988527724664,1.0,,0.1388888888888889,4.469,
whisper_small,unknown,11,0.9744408945686901,0.8794093519278097,0.9744408945686901,0.8792111750205424,0.9744408945686901,0.8790123456790123,0.0,,0.0,107.407,
