model,audio_id,language,cmi_band,noise,domain,latency_s,audio_seconds,werr_strict,wlen_strict,cerr_strict,clen_strict,werr_loose,wlen_loose,cerr_loose,clen_loose,werr_numeric,wlen_numeric,cerr_numeric,clen_numeric,amount_hits,amount_total,refnum_hits,refnum_total,negation_ref,negation_kept
whisper_large_v3,afriswitch_yoruba_00009,yoruba,low,unknown,general,1.187,,20,20,35,62,17,20,22,60,17,20,22,60,0,0,0,0,2,0
whisper_large_v3,afriswitch_yoruba_00010,yoruba,medium,unknown,general,4.656,,29,40,57,156,28,40,52,156,28,40,52,154,1,1,0,0,1,0
whisper_large_v3,afriswitch_yoruba_00011,yoruba,high,unknown,general,6.375,,21,34,43,161,21,34,43,161,21,34,43,161,0,0,0,0,2,1
whisper_large_v3,afriswitch_yoruba_00012,yoruba,low,unknown,general,2.907,,40,43,80,173,40,43,80,173,40,43,80,173,0,0,0,0,1,0
whisper_large_v3,afriswitch_yoruba_00013,yoruba,high,unknown,general,5.547,,14,14,37,52,14,14,37,52,14,14,35,50,1,1,0,0,1,0
whisper_large_v3,afriswitch_yoruba_00014,yoruba,high,unknown,general,1.406,,7,8,11,36,7,8,11,36,7,8,11,36,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00015,yoruba,medium,unknown,general,1.266,,5,8,9,29,4,8,7,29,4,8,7,29,0,0,0,0,1,0
whisper_large_v3,afriswitch_yoruba_00016,yoruba,medium,unknown,general,3.969,,17,11,46,49,17,11,43,49,17,11,43,49,0,0,0,0,2,0
whisper_large_v3,afriswitch_yoruba_00017,yoruba,medium,unknown,general,2.437,,11,12,21,51,11,12,21,51,11,12,21,51,0,0,0,0,1,0
whisper_large_v3,afriswitch_yoruba_00018,yoruba,medium,unknown,general,3.891,,30,31,58,108,30,31,56,108,30,31,56,108,0,0,0,0,2,0
whisper_large_v3,afriswitch_yoruba_00019,yoruba,high,unknown,general,1.469,,8,11,23,57,8,11,23,57,8,11,23,57,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00020,yoruba,high,unknown,general,5.031,,20,35,34,132,20,35,30,132,20,35,30,130,1,1,0,0,2,0
whisper_large_v3,afriswitch_yoruba_00021,yoruba,high,unknown,general,6.875,,28,33,120,150,28,33,120,150,28,33,120,150,0,0,0,0,2,0
